query_id,claim,recall@1,recall@2,recall@3,recall@4,recall@5,precision@1,precision@2,precision@3,precision@4,precision@5
0,ناسا ترصد أكثر من 30 نجم في السماء الدنيا سرعتهم أكبر من سرعة الصوت,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
1,وزير الأوقاف يدرس تقليل زمن خطبة صلاة الجمعة لسبع دقائق.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
2,وزارة الصحة اللبنانية أعلنت عن تسجيل أول حالة إصابة بالكوليرا في البلاد منذ عام ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
3,هيئة تكنولوجيا المعلومات والاتصالات التركية رفعت مدة تقديم طلب تقييد الهواتف غير,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.2
4,لم يصدر عن مؤتمر دعم استقرار ليبيا بيان ختامي يتضمن اجراء الانتخابات في موعدها ا,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
5,"يجدر بالذكر أن الأردن رشّح في الأعوام الماضية 7 أفلام، من بينها ""فرحة""، لتمثيله ",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
6,لقابلة التي بدلت 5 آلاف رضيع في زامبيا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,بعد اتهامها بالتهرب من دفع ضرائب بقيمة 14.5 مليون يورو بين عامي 2012 و2014، وفقً,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
8,استقالة ثلاثة رؤساء بلديات في تركيا من حزب العدالة والتنمية بسبب سياسات أردوغان ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
9,كشف تقرير حديث عن ارتفاع صادرات مصر من الكهرباء إلى الأردن في العام الماضي (2021,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
10,- وصل إجمالي حجم التداولات في نهاية الأسبوع إلى حوالي 423.269.26 ورقة مالية، بقي,0.0526,0.1053,0.1579,0.2105,0.2105,1.0,1.0,1.0,1.0,0.8
11,تصريح لرئيس نادي بنفيكا البرتغالي، روي كوستا، يقول فيه إنّهم توقّعوا أن يدفع ناد,0.125,0.25,0.25,0.25,0.25,1.0,1.0,0.6667,0.5,0.4
12,أعلن سكان مخيم شعفاط شمال القدس المحتلة يوم الثلاثاء بدء العصيان المدني احتجاجاً,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.3333,0.25,0.2
13,جاء ذلك خلال كلمته في الاجتماع الوزاري رفيع المستوى الذي استضافه الأردن والسويد ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
14,أجلت محكمة جنايات الزقازيق بمحافظة الشرقية محاكمة المتهمين بقتل مواطن بسبب نزاع ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
15,المنح الالهية تتوالى على مصر، الكشف عن بحر من الغاز في مصر باحتياطي 200 تريليون ,0.0625,0.125,0.1875,0.25,0.3125,1.0,1.0,1.0,1.0,1.0
16,انكشف كذبهم… الممثّلون الذين لعبوا دور الهبوط على سطح القمر عام 1969 عندما نزعوا,0.0625,0.125,0.1875,0.1875,0.25,1.0,1.0,1.0,0.75,0.8
17,قامت مشرحة زينهم في مصر أمس بدفن 20 جثة مجهولة الهوية تم العثور عليها في محافظتي,0.1111,0.2222,0.3333,0.3333,0.3333,1.0,1.0,1.0,0.75,0.6
18,واجه منتخب مصر نظيره النيجر في 5 مباريات سابقة، حيث حقق الفراعنة الفوز في 3 مبار,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
19,مقطع فيديو لاعتداء الأمن المغربي على بعثة النادي الأهلي المصري في بطولة كأس العا,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
20,تمكنت الكتيبة 302 التابعة للقوات المسلحة، بالتعاون مع مركز شرطة النواقية، من الق,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
21,لماذا فشلت تجربة الإسلام السياسي في الحكم في العديد من الدول مثل مصر وتونس؟ وما ,0.1111,0.2222,0.2222,0.3333,0.4444,1.0,1.0,0.6667,0.75,0.8
22,"أول تصريح من أنغيلا ميركل على قناة دوتشه فيله الألمانية ""غريب أمر نواب تونس 10 س",0.0,0.0,0.0769,0.1538,0.2308,0.0,0.0,0.3333,0.5,0.6
23,صحيفة ماركا الإسبانية تقول “انتهت مسرحية آسيا بطلها الحكم الصيني لأول مرة في تار,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"""القائد الأمريكي ستانلي كريس المسؤول عن استهداف تنظيم داعش في العالم كشف أن تركي",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
25,شينكر: لبنان حصل على 100٪ مما طلبه في ترسيم الحدود البحرية، وإسرائيل ستستفيد من ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
26,تضامنآ مع صواريخ جنوب لبنان ‏بث تجريبي ل ١٠٠ صاروخ أخرين من قلب غزة,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
27,لحظة فتح كوبرى ٢٥ يناير بأسيوط أثناء عبور سفينة,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
28,تم الإفراج عن الرئيس البرازيلي الأسبق، لويس إيناسيو لولا دا سيلفا، من السجن يوم ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
29,صورة لشحنة 2 طن من الكوكايين و36 سلاح ناري حُجزت، تمّ ضبطها في ميناء السنغال قاد,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
30,الحكم على المغني الشاب بيلو، بالسجن ثلاث سنوات وغرامة مالية تقدر بـ70 مليون سنتي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,أسوشيتد برس: النظام السوري لن يتمكن من دفع الرواتب بعد 3 أشهر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"ذكرت مجموعة ""محامون من أجل العدالة"" أن نيابة السلطة في أريحا قامت بتمديد اعتقال ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"""احتفالات تعمّ أرجاء المملكة العربية السعودية بعد فوز المنتخب السعودي على المنتخ",0.3333,0.3333,0.3333,0.6667,0.6667,1.0,0.5,0.3333,0.5,0.4
34,بدأت روسيا عملية عسكرية لنزع السلاح في أوكرانيا صباح يوم الخميس 24 فبراير/شباط.,0.0625,0.125,0.1875,0.25,0.3125,1.0,1.0,1.0,1.0,1.0
35,لحظة انفجار بركان ساكوراجيما في اليابان، 28 يناير/كانون الثاني 2022.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
36,أثار رحيل الفنان المصري سمير صبري، الذي توفي في 22 مايو 2021، جدلاً كبيراً.,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
37,"تسجيل مصور زعم أنه يظهر وصول ""الشيخ فهد بن راسم الصباح إلى دبي برفقة حارسه الشخص",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
38,لقي أربعة أشخاص مصرعهم في ولاية فلوريدا بالولايات المتحدة الأميركية، جراء إطلاق ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
39,شارك محمد صلاح مع فريق ليفربول في 9 مباريات هذا الموسم ضمن مختلف البطولات، حيث س,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,بدأ الموجة الثانية لفيروس كورونا واستقبال خمس أضعاف أعداد المرضى في مصر,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
41,16 أكتوبر 2022 - طرابلس (وال): أعلنت النقابة العامة للإعلاميين الرياضيين عن اختي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,صرّح الرئيس الأميركي دونالد ترامب، عن عدم وجود إصابات في صفوف الجيش الأميركي في ,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.2
43,بحلول نهاية عام 2017، دعم 14 عضوًا قرارًا يدين اعتراف واشنطن بشكل أحادي بالقدس ع,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
44,نجحت قوات الحماية المدنية بالجيزة في إخماد حريق اندلع داخل محل تجاري بالحي الساد,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,تراجعت العقود الآجلة لكل من خام برنت وغرب تكساس الوسيط يوم الجمعة الماضي بحوالي ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
46,أفاد رئيس جمعية الهلال الأحمر الإيراني، كريم همتي، اليوم الخميس، بإرسال طائرتين ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,اردوغان هدد اسرائيل وضرب شمال سوريا قبل قليل قتل 20 مدني سوري في غارة بالطيران.,0.0556,0.0556,0.1111,0.1667,0.2222,1.0,0.5,0.6667,0.75,0.8
48,مقطع فيديو انتشر حديثًا للملازم أول ماجد بن فلاح الدويش حين ذكر أنه نجح بإسقاط ث,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
49,صورة لمواطن جزائري من ولاية سطيف رزق بثلاثة أطفال، بعد عشر سنوات من الانتظار. ون,0.0625,0.125,0.1875,0.25,0.3125,1.0,1.0,1.0,1.0,1.0
50,مقطع فيديو يظهر استعراض الطيران الإيطالي، عقب فوز منتخب إيطاليا بلقب بطولة كأس أ,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
51,تقدم «المصري اليوم» في نشرتها الفنية اليومية أبرز الأحداث الفنية التي شهدتها مصر,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2
52,عُقدت اليوم السبت ورشة في مركز شابات جديتا بلواء الكورة، تناولت دور الأسرة وتحدي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
