query_id,claim,recall@1,recall@2,recall@3,recall@4,recall@5,precision@1,precision@2,precision@3,precision@4,precision@5
0,11 de los 14 ministros del último gobierno de Aznar están imputados por corrupci,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
1,“Treinta millones de personas no tienen suficiente comida”,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"El 40% de la población argentina no tiene agua, y el 60% no tiene cloacas",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
3,"“El informe de la pobreza dice que en el año 2022, en diciembre, estamos en los ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,El 85% de los detenidos no terminó los estudios primarios,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
5,El Banco de España no ha recomendado tener dinero en efectivo en casa equivalent,0.0526,0.1053,0.1579,0.2105,0.2632,1.0,1.0,1.0,1.0,1.0
6,La UE obligó a los capitales de la Eurocopa 2020 a llevar en los partidos un bra,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
7,"“En el año 2012, Miquel Iceta, del PSC, defendía el derecho a la autodeterminaci",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"""Vas a extinguir 180 millones de personas con atención médica privada""",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
9,El sistema electoral Dominion eliminó 2.7 millones de votos de Trump,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
10,"“Ahora mismo, el 1% de la población [española] acumula el 22% de la riqueza, hac",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,La construcción del hospital de Tlaxiaco costó más de 2.000 millones de pesos me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Estas fotos muestran a Donald Trump siendo arrestado por un grupo de policías en,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
13,Una mujer afirma que recibe 600 euros al mes y otras ayudas por estar casada con,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
14,En Dubái la semana pasada llego la temperatura a 63 grados centígrados. Los árbo,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
15,Ursula von der Leyen presenta el ‘Certificado digital Covid de la UE’ que introd,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
16,"Ese video, en el que se señala que se encontraron boletas electorales marcadas a",0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
17,La opositora venezolana María Corina Machado compartió un vídeo apoyando el inte,0.05,0.1,0.15,0.2,0.25,1.0,1.0,1.0,1.0,1.0
18,La ley de movilidad [jubilatoria] por primera vez en siete u ocho años ha quedad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
