lang,evidence,aggregation,macro_f1,recall@5,n_val
english,with_evidence,top1,0.4801,0.2548,1600
english,with_evidence,majority_top3,0.4811,0.2548,1600
english,with_evidence,majority_top5,0.4768,0.2548,1600
english,with_evidence,score_weighted,0.486,0.2548,1600
english,no_evidence,top1,0.5178,0.2977,1600
english,no_evidence,majority_top3,0.5093,0.2977,1600
english,no_evidence,majority_top5,0.4997,0.2977,1600
english,no_evidence,score_weighted,0.5163,0.2977,1600
spanish,with_evidence,top1,0.3663,0.2019,562
spanish,with_evidence,majority_top3,0.3655,0.2019,562
spanish,with_evidence,majority_top5,0.3612,0.2019,562
spanish,with_evidence,score_weighted,0.3535,0.2019,562
spanish,no_evidence,top1,0.4354,0.2754,562
spanish,no_evidence,majority_top3,0.4345,0.2754,562
spanish,no_evidence,majority_top5,0.4136,0.2754,562
spanish,no_evidence,score_weighted,0.4023,0.2754,562
arabic,with_evidence,top1,0.4917,0.2102,652
arabic,with_evidence,majority_top3,0.4907,0.2102,652
arabic,with_evidence,majority_top5,0.4924,0.2102,652
arabic,with_evidence,score_weighted,0.4976,0.2102,652
arabic,no_evidence,top1,0.5121,0.2424,652
arabic,no_evidence,majority_top3,0.5054,0.2424,652
arabic,no_evidence,majority_top5,0.4994,0.2424,652
arabic,no_evidence,score_weighted,0.512,0.2424,652
